Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Lyxonic acid	1.1814962957	1.7758042913	#DIV/0!	0.6126975205	0.4591170077	1.0392503119	1.907987656	0.7254354456	#DIV/0!	0.1537245911	0.9711265338	0.9574304834	0.5515873091	1.2852504055	0	0.5664253105	0.8579235606	0	1.0651031537	0.1294091124	0.5767979403	0.3909846301	0.6206395264	0.5592976349
Lyxonic acid-1,4-lactone	2.1382377571	1.84060624	#DIV/0!	0.5547811903	0.3269765319	0.3183004843	2.1999962817	0.6327736318	#DIV/0!	0	0.7935759356	0.7428290109	0.3649563156	1.1937733085	0	0.4512487294	1.1967867255	0	1.5246892874	0.1282121864	0.3376614672	0.6278391579	0.7579632277	0.3802303772
Ribonic acid	1.5651906294	1.9443263934	#DIV/0!	0.9247144046	0.5600967048	1.4646558557	2.2283379788	0.5995131132	#DIV/0!	0.3763664707	1.1270406711	1.3090769367	0.5433633983	1.0799580667	0	1.0262970081	1.4274566909	0	1.1529586945	0.2049005389	0.9428877791	0.5100332312	1.077715843	0.9956155241
Ribonic acid-gamma-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Saccharic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Threonic acid	1.0121670763	1.5366810517	#DIV/0!	1.3569324296	1.1967265548	1.7990503368	3.0780123459	0.7497661512	#DIV/0!	1.1747905522	1.1563098992	0.8997609431	0.5259673053	0.7569537717	0	0.9517572361	1.632828698	0	0.4159425982	0.3016570264	0.7268209695	0.4940646348	0.7905413884	0.8670443025
Threonic acid-1,4-lactone	0.4153067861	0.6075862978	#DIV/0!	0.7721609127	0.5932041331	0.2208219646	1.5513419719	0.8456562308	#DIV/0!	0	1.0498016708	0.7510904476	0.4747205352	0.463138415	0	0.3123178625	0.3942062479	0	0.2973842284	0.1735551758	0.1583668681	0.5656535462	0.35243674	0.101170479
Erythritol	0.1934934253	0.2562518921	#DIV/0!	0	0.310379663	0.3018678619	0.570249002	0.517796558	#DIV/0!	0	0.2344858154	0.3680911635	0.1651482634	0	0	0.3439262275	0.3183663072	0	0	0	0	0	0	0
Inositol, myo-	0.381697451	0.5422695655	#DIV/0!	0.4045771128	0.2287493309	0.236126162	1.0374938077	0.4894401793	#DIV/0!	0.2560363183	1.1303036836	0.7545603315	0.4232187762	0.4666844242	0	0.9492825342	1.0424383598	0	0.5385424539	0.5636774973	1.1046819582	1.1514864632	1.2293341279	0.7619647474
beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-	0.5724193998	0.9586633813	#DIV/0!	0.5008187998	0.4910652024	0.4043255494	1.4134646072	0.620648895	#DIV/0!	0.1647300036	0.5081243687	0.5571720874	0.7157249446	0.818245493	0	0.2138854748	0.9575699803	0	0.4515849326	0.1098322987	0.6435074781	0.562749013	0.3342725373	0.2260024985
